State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
MS,,P,COCAINE, 86 , 34 ,2007,1," 1,500 "
OH,,P,COCAINE HYDROCHLORIDE, 37 , 44 ,2007,1," 1,500 "
FL,,P,COCAINE, 37 , 54 ,2007,1," 1,500 "
FL,,P,COCAINE, 35 , 54 ,2007,1," 1,500 "
NM,,P,COCAINE HYDROCHLORIDE, 34 , 50 ,2007,1," 1,500 "
IL,,P,COCAINE HYDROCHLORIDE, 72 , 56 ,2007,1," 1,500 "
FL,,P,COCAINE, 37 , 54 ,2007,1," 1,500 "
FL,,P,COCAINE, 37 , 54 ,2007,1," 1,500 "
WA,,P,COCAINE, 84 , 77 ,2007,1," 1,500 "
NJ,,P,COCAINE, 56 , 62 ,2007,1," 1,500 "
TX,,P,COCAINE, 41 , 94 ,2007,1," 1,400 "
CT,,P,COCAINE HYDROCHLORIDE, 62 , 55 ,2007,1," 1,400 "
MS,,P,COCAINE, 77 , 41 ,2007,1," 1,400 "
IL,,P,COCAINE HYDROCHLORIDE, 43 , 55 ,2007,1," 1,400 "
FL,,P,COCAINE, 53 , 16 ,2007,1," 1,400 "
IL,,P,COCAINE HYDROCHLORIDE, 88 , 63 ,2007,1," 1,400 "
MI,,P,COCAINE HYDROCHLORIDE, 57 , 63 ,2007,1," 1,400 "
MA,,P,COCAINE HYDROCHLORIDE, 50 , 44 ,2007,1," 1,400 "
IL,,P,COCAINE, 51 , 34 ,2007,1," 1,400 "
CA,,P,COCAINE, 68 , 84 ,2007,1," 1,400 "
LA,,P,COCAINE, 21 , 62 ,2007,1," 1,300 "
FL,,P,COCAINE, 60 , 52 ,2007,1," 1,300 "
IL,,P,COCAINE, 55 , 34 ,2007,1," 1,200 "
CA,,P,COCAINE HYDROCHLORIDE, 59 , 56 ,2007,1," 1,200 "
CA,,P,COCAINE, 66 , 56 ,2007,1," 1,200 "
CA,,P,COCAINE, 61 , 55 ,2007,1," 1,200 "
FL,,P,COCAINE, 19 , 13 ,2007,1," 1,200 "
,PR,P,COCAINE, 66 , 82 ,2007,1," 1,200 "
TX,,P,COCAINE HYDROCHLORIDE, 82 , 56 ,2007,1," 1,200 "
IL,,P,COCAINE, 44 , 62 ,2007,1," 1,200 "
